,Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast,labels
0,20-10-00,60.61,61.32,60.01,60.37,9369200,5.099733197,81.16496639,60.76603361,61.44,60.8,71.99,69.49,62.44,65.08,68.028,70.9655,76.6062,72.7406,63.79314892,63.79314892,63.79314892,63.79314892,63.79314892,-3.783111982,-2.637814657,4.001332009,34.19499855,1333.333333,-18.31957786,31.98296873,-84.53663793,15.46336207,0.074168887,-10025044,-173798660,20,4,294,42,0,0,0,0,0,0,1,2000,10,75.26,74.17,68.01,70.85,70.103,73.1995,79.0922,1396.93,1388.76,1374.17,10226.59,10142.98,10192.18,59.17,2
1,23-10-00,60.37,60.53,58.02,59.17,9338600,5.429032554,80.86356511,59.14743489,60.37,61.44,60.8,70.8,60.61,62.754,66.431,70.0055,76.2526,72.6761,62.25209928,62.25209928,62.25209928,62.25209928,62.25209928,-4.17461729,-2.945175184,3.894808294,36.01529705,1333.333333,-21.25365983,30.79114025,-91.00215517,8.997844828,0.070323442,-11206320,-179301120,23,0,297,43,0,0,0,0,0,0,1,2000,10,75.15,75.26,74.17,71.5,70.414,73.013,79.0072,1395.78,1396.93,1374.62,10271.72,10226.59,10238.8,58.26,2
2,24-10-00,59.25,60.13,57.46,58.26,8826200,5.838468865,80.80043773,57.44656227,59.17,60.37,61.44,71.99,60.37,60.008,64.938,69.1235,75.8474,72.59275,60.92139952,60.92139952,60.92139952,60.92139952,60.92139952,-4.506370823,-3.257414312,3.807321987,37.77383841,1333.333333,-20.39896161,29.88175905,-95.69892473,4.301075269,0.065952424,-8031842,-155694168,24,1,298,43,0,0,0,0,0,0,1,2000,10,71.94,75.15,75.26,68.23,70.78,72.711,78.8242,1398.13,1395.78,1349.97,10393.07,10271.72,10089.71,55.79,2
3,25-10-00,57.66,57.94,55.39,55.79,14058500,6.365900441,80.88580088,55.42219912,58.26,59.17,60.37,60.8,59.25,59.006,63.381,68.154,75.4086,72.4939,59.21093301,59.21093301,59.21093301,59.21093301,59.21093301,-4.911974067,-3.588326263,3.740370417,39.64919864,1333.333333,-21.81894619,27.50707992,-98.06482825,1.935171746,0.018799596,-34724495,-272594315,25,2,299,43,0,0,0,0,0,0,1,2000,10,67.9,71.94,75.15,68.01,70.851,72.2015,78.5604,1364.9,1398.13,1342.13,10326.48,10393.07,9975.02,59.09,1
4,26-10-00,56.07,59.17,55.83,59.09,10135700,6.545417119,80.52783424,54.34616576,55.79,58.26,59.17,61.44,57.66,58.536,62.72,67.437,75.031,72.40995,59.17062201,59.17062201,59.17062201,59.17062201,59.17062201,-4.91052961,-3.852766932,3.714629673,40.7779872,1333.333333,-10.0608828,34.94545524,-82.09966134,17.90033866,0.038642966,33447810,-145345938,26,3,300,43,0,0,0,0,0,0,1,2000,10,69.65,67.9,71.94,74.17,71.266,71.692,78.3152,1364.44,1364.9,1388.76,10380.12,10326.48,10142.98,59.69,2
5,27-10-00,59.25,59.69,57.98,59.69,6431400,6.680886543,80.19527309,53.47172691,59.09,55.79,58.26,60.37,56.07,58.4,61.74,66.8335,74.6638,72.33295,59.34374801,59.34374801,59.34374801,59.34374801,59.34374801,-4.805574214,-4.043328389,3.571441839,41.56796279,1333.333333,-14.1027486,36.22673261,-77.63910556,22.36089444,0.038784676,3858840,-77626998,27,4,301,43,0,0,0,0,0,0,1,2000,10,69.51,69.65,67.9,75.26,71.132,71.2985,78.0356,1379.58,1364.44,1396.93,10590.62,10380.12,10226.59,59.45,2
6,30-10-00,59.57,59.73,57.54,59.45,8084000,6.580304824,79.21360965,52.89239035,59.69,59.09,55.79,59.17,59.25,58.456,60.605,66.053,74.3182,72.2504,59.37916534,59.37916534,59.37916534,59.37916534,59.37916534,-4.687725124,-4.172207736,3.472767422,42.37289053,1333.333333,-16.03107345,35.92196398,-76.77345538,23.22654462,0.037552379,-1940160,-126191240,30,0,304,44,0,0,0,0,0,0,1,2000,10,66.94,69.51,69.65,75.15,70.676,70.8635,77.7134,1398.66,1379.58,1395.78,10835.77,10590.62,10271.72,62.76,2
7,31-10-00,59.73,63.15,59.73,62.76,10902600,6.534752361,78.73850472,52.59949528,59.45,59.69,59.09,58.26,59.57,59.356,59.682,65.669,74.026,72.1967,60.50611023,60.50611023,60.50611023,60.50611023,60.50611023,-4.277926262,-4.193351441,3.48899832,41.50485119,1333.333333,-12.82122517,43.03930553,-57.8375286,42.1624714,0.04266418,36087606,-83731968,31,1,305,44,1,0,0,0,0,0,1,2000,10,71.24,66.94,69.51,71.94,70.977,70.7635,77.4728,1429.4,1398.66,1398.13,10971.14,10835.77,10393.07,62.8,2
8,01-11-00,62.72,63.63,61.96,62.8,7466200,6.335627311,77.83675462,52.49424538,62.76,59.45,59.69,55.79,59.73,60.758,59.882,65.1655,73.7354,72.1313,61.27074015,61.27074015,61.27074015,61.27074015,61.27074015,-3.904916598,-4.135664472,3.359069869,40.49532464,1333.333333,3.289473684,43.12152473,-56.81818182,43.18181818,0.030664159,298648,-75184634,1,2,306,44,0,1,0,0,0,0,1,2000,11,70.63,71.24,66.94,67.9,71.239,70.562,77.22,1421.22,1429.4,1364.9,10899.47,10971.14,10326.48,64.95,2
9,02-11-00,63.07,65.19,62.76,64.95,7445100,6.121232998,77.049966,52.565034,62.8,62.76,59.45,59.09,62.72,61.93,60.233,64.8075,73.464,72.07825,62.4971601,62.4971601,62.4971601,62.4971601,62.4971601,-3.396662114,-3.987864001,3.292707735,38.9108209,1333.333333,5.712890625,47.50742727,-44.28904429,55.71095571,0.02511055,16006965,-53306916,2,3,307,44,0,0,0,0,0,0,1,2000,11,71.5,70.63,71.24,69.65,70.972,70.393,76.9574,1428.32,1421.22,1364.44,10880.51,10899.47,10380.12,63.79,2
